"RAS2022: Estimated number of reported road collisions involving a car drink driver, by driver age, collisions per licence holder and per mile driven: GB 2010-2020 [note 1]",,,,,,,,,
This worksheet contains one table. Some cells refer to notes which can be found on the notes worksheet.,,,,,,,,,
Collision year,Age group,Fatalities,Serious injuries (unadjusted) ,Serious injuries (adjusted) [note 3],Slight injuries (unadjusted),Slight injuries (adjusted) [note 3],Total casualties,Drink-drive collisions per 100 thousand licence holders,Drink drive collisions  per billion miles driven
2012,50-59, 10 , 50 , 80 , 450 , 420 , 510 ,8,10
2012,60 or over, 10 , 40 , 60 , 260 , 240 , 310 ,3,6
2012,All ages [note 2], 180 , 790 ," 1,130 "," 4,950 "," 4,610 "," 5,920 ",14,24
2011,Under 20, 10 , 70 , 120 , 400 , 360 , 480 ,31,143
2011,20-24, 40 , 210 , 310 ," 1,040 ", 940 ," 1,290 ",39,109
2011,25-29, 30 , 140 , 200 , 800 , 740 , 980 ,29,53
2011,30-34, 20 , 120 , 170 , 660 , 610 , 790 ,24,35
2011,35-39, 10 , 70 , 100 , 490 , 460 , 570 ,17,22
2011,40-49, 20 , 140 , 190 , 770 , 720 , 930 ,12,15
2011,50-59, 20 , 60 , 80 , 400 , 380 , 480 ,7,10
2011,60 or over, 10 , 30 , 50 , 260 , 240 , 300 ,3,6
2011,All ages [note 2], 160 , 860 ," 1,230 "," 4,880 "," 4,510 "," 5,900 ",14,24
2010,Under 20, 10 , 100 , 140 , 400 , 360 , 510 ,38,149
2010,20-24, 40 , 200 , 290 ," 1,130 "," 1,040 "," 1,370 ",50,123
2010,25-29, 30 , 150 , 210 , 830 , 770 ," 1,010 ",34,53
2010,30-34, 20 , 100 , 140 , 600 , 560 , 720 ,24,32
2010,35-39, 20 , 70 , 100 , 510 , 480 , 600 ,19,21
2010,40-49, 20 , 100 , 150 , 800 , 750 , 920 ,13,14
2010,50-59, 10 , 60 , 80 , 400 , 380 , 470 ,9,10
2010,60 or over, 10 , 30 , 40 , 260 , 250 , 300 ,4,7
2010,All ages [note 2], 170 , 820 ," 1,170 "," 4,980 "," 4,630 "," 5,970 ",18,25
